alus_id;nimi;alustyyppi;Tilakoodi;Ensirekisterointipvm;Uusikotimaa;Vanhakotimaa;Rakennusvuosi;Rakennusmaa;Rakennuspaikka;omistajuustyyppi;asiakkaan_kuntatieto;aluksen_satamapaikka;Kantavuus;JaaluokkaKoodi;Nettovetoisuus;Bruttovetoisuus;Pituus;Suurinpituus;Mallisyvays;Mallikorkeus;Leveys;
"320";"CAMILLA";"5";"VESSEL_REGISTERED_FI";"28.05.1990";"";"999";"";"";"";"1";"405";"Lappeenranta";"";"";"133";"334";"28,61";"";"2,54";"3,38";"8,41";
"320";"CAMILLA";"5";"VESSEL_REGISTERED_FI";"28.05.1990";"";"999";"1987";"250";"Paimboeuf";"3";"199";"Lappeenranta";"";"";"133";"334";"28,61";"";"2,54";"3,38";"8,41";
"321";"Hiekka";"11";"VESSEL_REGISTERED_FI";"01.10.1968";"";"752";"";"";"";"1";"199";"Helsinki";"600";"";"237";"391";"57,79";"59,97";"3,10";"2,35";"9,19";
"321";"Hiekka";"11";"VESSEL_REGISTERED_FI";"01.10.1968";"";"752";"1944";"826";"";"3";"199";"Helsinki";"600";"";"237";"391";"57,79";"59,97";"3,10";"2,35";"9,19";
"322";"Charmant";"5";"VESSEL_REGISTERED_FI";"16.10.1991";"";"826";"";"";"";"1";"445";"Parainen";"";"";"5";"14";"9,12";"";"0,75";"1,00";"3,70";
"322";"Charmant";"5";"VESSEL_REGISTERED_FI";"16.10.1991";"";"826";"1988";"826";"Birmingham";"3";"199";"Parainen";"";"";"5";"14";"9,12";"";"0,75";"1,00";"3,70";
"323";"Rockbuster";"9";"VESSEL_REGISTERED_FI";"08.01.1992";"";"826";"";"";"";"1";"091";"Helsinki";"";"";"41";"136";"24,77";"";"1,54";"2,60";"19,00";
"323";"Rockbuster";"9";"VESSEL_REGISTERED_FI";"08.01.1992";"";"826";"1991";"826";"Burntisland";"3";"199";"Helsinki";"";"";"41";"136";"24,77";"";"1,54";"2,60";"19,00";
"324";"Adam";"11";"VESSEL_REGISTERED_FI";"30.12.1986";"";"";"";"";"";"1";"091";"Helsinki";"";"";"39";"127";"30,53";"";"1,79";"2,38";"6,47";
"324";"Adam";"11";"VESSEL_REGISTERED_FI";"30.12.1986";"";"";"1971";"826";"Cornwall";"3";"199";"Helsinki";"";"";"39";"127";"30,53";"";"1,79";"2,38";"6,47";
"325";"Arska";"11";"VESSEL_REGISTERED_FI";"29.12.1989";"";"246";"";"";"";"1";"541";"Nurmes";"";"";"18";"60";"20,75";"";"1,95";"2,60";"5,30";
"325";"Arska";"11";"VESSEL_REGISTERED_FI";"29.12.1989";"";"246";"1943";"826";"Hessle";"3";"200";"Nurmes";"";"";"18";"60";"20,75";"";"1,95";"2,60";"5,30";
"326";"Minos";"11";"VESSEL_REGISTERED_FI";"27.03.1990";"";"246";"";"";"";"1";"684";"Rauma";"";"";"16";"51";"20,54";"";"1,80";"2,40";"5,25";
"326";"Minos";"11";"VESSEL_REGISTERED_FI";"27.03.1990";"";"246";"";"";"";"2";"684";"Rauma";"";"";"16";"51";"20,54";"";"1,80";"2,40";"5,25";
